YEAR,MO,DY,Date,UV
2013,1,26,26/1/2013,0.1
2013,1,26,26/1/2013,0.38
2013,1,26,26/1/2013,0.42
2013,1,26,26/1/2013,0.33
2013,1,26,26/1/2013,0.17
2013,1,26,26/1/2013,0.05
2013,1,26,26/1/2013,0.02
2013,1,26,26/1/2013,0
2013,1,26,26/1/2013,0
2013,1,26,26/1/2013,0
2013,1,26,26/1/2013,0
2013,1,26,26/1/2013,0
2013,1,26,26/1/2013,0
2013,1,26,26/1/2013,0
2013,1,27,27/1/2013,0
2013,1,27,27/1/2013,0
2013,1,27,27/1/2013,0
2013,1,27,27/1/2013,0
2013,1,27,27/1/2013,0
2013,1,27,27/1/2013,0
2013,1,27,27/1/2013,0
2013,1,27,27/1/2013,0
2013,1,27,27/1/2013,0.02
2013,1,27,27/1/2013,0.05
2013,1,27,27/1/2013,0.15
2013,1,27,27/1/2013,0.38
2013,1,27,27/1/2013,0.38
2013,1,27,27/1/2013,0.35
2013,1,27,27/1/2013,0.2
2013,1,27,27/1/2013,0.08
2013,1,27,27/1/2013,0.02
2013,1,27,27/1/2013,0
2013,1,27,27/1/2013,0
2013,1,27,27/1/2013,0
2013,1,27,27/1/2013,0
2013,1,27,27/1/2013,0
2013,1,27,27/1/2013,0
2013,1,27,27/1/2013,0
2013,1,28,28/1/2013,0
2013,1,28,28/1/2013,0
2013,1,28,28/1/2013,0
2013,1,28,28/1/2013,0
2013,1,28,28/1/2013,0
2013,1,28,28/1/2013,0
2013,1,28,28/1/2013,0
2013,1,28,28/1/2013,0
2013,1,28,28/1/2013,0.02
2013,1,28,28/1/2013,0.05
2013,1,28,28/1/2013,0.12
2013,1,28,28/1/2013,0.15
2013,1,28,28/1/2013,0.23
2013,1,28,28/1/2013,0.17
2013,1,28,28/1/2013,0.08
2013,1,28,28/1/2013,0.02
2013,1,28,28/1/2013,0
2013,1,28,28/1/2013,0
2013,1,28,28/1/2013,0
2013,1,28,28/1/2013,0
2013,1,28,28/1/2013,0
2013,1,28,28/1/2013,0
2013,1,28,28/1/2013,0
2013,1,28,28/1/2013,0
2013,1,29,29/1/2013,0
2013,1,29,29/1/2013,0
2013,1,29,29/1/2013,0
2013,1,29,29/1/2013,0
2013,1,29,29/1/2013,0
2013,1,29,29/1/2013,0
2013,1,29,29/1/2013,0
2013,1,29,29/1/2013,0
2013,1,29,29/1/2013,0.02
2013,1,29,29/1/2013,0.1
2013,1,29,29/1/2013,0.33
2013,1,29,29/1/2013,0.45
2013,1,29,29/1/2013,0.42
2013,1,29,29/1/2013,0.2
2013,1,29,29/1/2013,0.12
2013,1,29,29/1/2013,0.05
2013,1,29,29/1/2013,0.02
2013,1,29,29/1/2013,0
2013,1,29,29/1/2013,0
2013,1,29,29/1/2013,0
2013,1,29,29/1/2013,0
2013,1,29,29/1/2013,0
2013,1,29,29/1/2013,0
2013,1,29,29/1/2013,0
2013,1,30,30/1/2013,0
2013,1,30,30/1/2013,0
2013,1,30,30/1/2013,0
2013,1,30,30/1/2013,0
2013,1,30,30/1/2013,0
2013,1,30,30/1/2013,0
2013,1,30,30/1/2013,0
2013,1,30,30/1/2013,0
2013,1,30,30/1/2013,0.02
2013,1,30,30/1/2013,0.08
2013,1,30,30/1/2013,0.25
2013,1,30,30/1/2013,0.42
2013,1,30,30/1/2013,0.5
2013,1,30,30/1/2013,0.42
2013,1,30,30/1/2013,0.25
2013,1,30,30/1/2013,0.1
2013,1,30,30/1/2013,0.02
2013,1,30,30/1/2013,0
2013,1,30,30/1/2013,0
2013,1,30,30/1/2013,0
2013,1,30,30/1/2013,0
2013,1,30,30/1/2013,0
2013,1,30,30/1/2013,0
2013,1,30,30/1/2013,0
2013,1,31,31/1/2013,0
2013,1,31,31/1/2013,0
2013,1,31,31/1/2013,0
2013,1,31,31/1/2013,0
2013,1,31,31/1/2013,0
2013,1,31,31/1/2013,0
2013,1,31,31/1/2013,0
2013,1,31,31/1/2013,0
2013,1,31,31/1/2013,0.02
2013,1,31,31/1/2013,0.1
2013,1,31,31/1/2013,0.3
2013,1,31,31/1/2013,0.4
2013,1,31,31/1/2013,0.6
2013,1,31,31/1/2013,0.42
2013,1,31,31/1/2013,0.2
2013,1,31,31/1/2013,0.08
2013,1,31,31/1/2013,0.02
2013,1,31,31/1/2013,0
2013,1,31,31/1/2013,0
2013,1,31,31/1/2013,0
2013,1,31,31/1/2013,0
2013,1,31,31/1/2013,0
2013,1,31,31/1/2013,0
2013,1,31,31/1/2013,0
2013,2,1,1/2/2013,0
2013,2,1,1/2/2013,0
2013,2,1,1/2/2013,0
2013,2,1,1/2/2013,0
2013,2,1,1/2/2013,0
2013,2,1,1/2/2013,0
2013,2,1,1/2/2013,0
2013,2,1,1/2/2013,0
2013,2,1,1/2/2013,0.02
2013,2,1,1/2/2013,0.1
2013,2,1,1/2/2013,0.33
2013,2,1,1/2/2013,0.6
2013,2,1,1/2/2013,0.75
2013,2,1,1/2/2013,0.67
2013,2,1,1/2/2013,0.38
2013,2,1,1/2/2013,0.15
2013,2,1,1/2/2013,0.02
2013,2,1,1/2/2013,0
2013,2,1,1/2/2013,0
2013,2,1,1/2/2013,0
2013,2,1,1/2/2013,0
2013,2,1,1/2/2013,0
2013,2,1,1/2/2013,0
2013,2,1,1/2/2013,0
2013,2,2,2/2/2013,0
2013,2,2,2/2/2013,0
2013,2,2,2/2/2013,0
2013,2,2,2/2/2013,0
2013,2,2,2/2/2013,0
2013,2,2,2/2/2013,0
2013,2,2,2/2/2013,0
2013,2,2,2/2/2013,0
2013,2,2,2/2/2013,0.02
2013,2,2,2/2/2013,0.17
2013,2,2,2/2/2013,0.5
2013,2,2,2/2/2013,0.85
2013,2,2,2/2/2013,1
2013,2,2,2/2/2013,0.77
2013,2,2,2/2/2013,0.45
2013,2,2,2/2/2013,0.15
2013,2,2,2/2/2013,0.02
2013,2,2,2/2/2013,0
2013,2,2,2/2/2013,0
2013,2,2,2/2/2013,0
2013,2,2,2/2/2013,0
2013,2,2,2/2/2013,0
2013,2,2,2/2/2013,0
2013,2,2,2/2/2013,0
2013,2,3,3/2/2013,0
2013,2,3,3/2/2013,0
2013,2,3,3/2/2013,0
2013,2,3,3/2/2013,0
2013,2,3,3/2/2013,0
2013,2,3,3/2/2013,0
2013,2,3,3/2/2013,0
2013,2,3,3/2/2013,0
2013,2,3,3/2/2013,0.02
2013,2,3,3/2/2013,0.05
2013,2,3,3/2/2013,0.15
2013,2,3,3/2/2013,0.25
2013,2,3,3/2/2013,0.6
2013,2,3,3/2/2013,0.42
2013,2,3,3/2/2013,0.27
2013,2,3,3/2/2013,0.1
2013,2,3,3/2/2013,0.02
2013,2,3,3/2/2013,0
2013,2,3,3/2/2013,0
2013,2,3,3/2/2013,0
2013,2,3,3/2/2013,0
2013,2,3,3/2/2013,0
2013,2,3,3/2/2013,0
2013,2,3,3/2/2013,0
2013,2,4,4/2/2013,0
2013,2,4,4/2/2013,0
2013,2,4,4/2/2013,0
2013,2,4,4/2/2013,0
2013,2,4,4/2/2013,0
2013,2,4,4/2/2013,0
2013,2,4,4/2/2013,0
2013,2,4,4/2/2013,0
2013,2,4,4/2/2013,0.02
2013,2,4,4/2/2013,0.12
2013,2,4,4/2/2013,0.38
